column_name,data_type,NA_symbol,default,label,anchor,description,ccomment
Newick_label,string,NA,NA,Newick label,NA,The label of the relevant internal node,"In Newick, appears after node; in NeXML, maps to XXXX. "
vernacularName,string,NA,NA,Common name,DwC-A,The vernacular or common name for this taxon.,
imageURL,http URI,NA,NA,Info page,W3C,The location of an image resource about this taxon.,
imageLicense,string,NA,NA,License,,"License for image, if available.",
imageAuthor,string,NA,NA,Author,,"Owner of rights to the image, if any. ",
infoURL,http URI,NA,http://www.eol.org,Info page,W3C,The location of an information resource about this taxon.,
mass_in_kg,float,NA,NA,Mass (kg),,Adult body mass.,Data from EOL.
trophic_habit,string,NA,NA,Trophic habit,,The way this organism obtains nutrition.,Data from EOL.
ncbi_taxid,integer,NA,NA,NCBI taxid,NCBI taxonomy,Identifier in the NCBI taxonomy,Data from NCBI.
