column_name,data_type,NA_symbol,default,label,semantic_anchor,description,ccomment
Newick_label,string,NA,NA,Newick label,NA,The label of the relevant internal node,"In Newick, appears after node; in NeXML, maps to XXXX. "
vernacularName,string,NA,NA,Common name,DwC-A,The vernacular or common name for this taxon.,
infoURL,http URI,NA,http://www.eol.org,Info page,W3C,The location of an information resource about this taxon.,
rank,string,NA,NA,Rank,NA,"The taxonomic rank of a taxon label for this node, if provided. ",
bootstrap,float,NA,NA,Bootstrap,CDAO?,Bootstrap support from resampled data.,
posterior,float,NA,NA,Posterior p,CDAO?,Posterior probability of this node from Bayesian inference. ,
